this,that,answer
Shaved,Unshaven,0
Sunshine,Rain,1
Hugs,Kisses,0
Apple,Android,1
Frequent but Bad,None at All,0
Full,Half,0
Staycation,Trip,1
Hard,Fast,0
Mountain,Beach,1
Ice Cubes,Feather,0
Soda,Juice,1
Call,Text,0
Read, Listen to Music,1
Martabak,Terang Bulan,0
Soto,Rawon,1
Introvert,Extrovert,1
Realist,Idealist,0
Cat,Dog,1
Sunrise,Sunset,1
Kitchen,Living Room,0
Time Machine,Magic Wand,1
WFH,WFO,0
Speed,Accuracy,1
Painful Truth,Comforting Lie,0
Expensive Gift,Homemade Gift,1
Personality,Look,0
Money,Time,1
Comedy,Horror,0
Amusement Park,Beach,1
Classical Art,Modern Art,0
Nice Car,Nice Home Interior,1
Picnic,Fancy Dinner,0
Telepathy,Teleport,1
Every Day,Once a Year,0
Large Crowd, Small Party,1
Music,Podcast,0
Art Festival,Music Festival,1
Money,Fame,0
Size,Skill,1
Travel to The Past,Travel to The Future,0
2 Minutes,2 Hours,1
Night Owl,Morning Person,0
Proposed in Public,Proposed in Private,1
Experienced,Inexperienced,0
Shower,Rain,1
Intelligent,Funny,0
Shower,Bathtub,1
Romantic,Kink,0
Charming,Genuine,1
Roller Coaster,Ferris Wheel,0
Dine In,Delivery,1
Bar,Club,0
Burger,Pizza,1
Forehead Kisses,Neck Kisses,0
Cuddle,More,1
Skydiving,Mountain Climbing,0
Lights On,Lights Off, 1
Intimate Wedding,Big Wedding,0
Fast Food,Traditional Food,1
Wet,Dry,0
Perfect Teeth,Perfect Hair,1
Truth,Dare,0
Visual,Audio,1
Real,Artificial,0
Smart,Lucky,1
Dragon,Unicorn,0
Smart,Happy,1
Logical,Creative,0
Beauty,Intelligence,1
5 Sons,5 Daughters,0
Boiled Egg,Fried Egg,1
Touch,Taste,0
Captain America,Iron man,1
Forget Who You Were,Forget Everyone Else,0
Coke,Sprite,1
Live Forever,Dream Forever,0
Small Family,Large Family,1
Sprite,Fanta,0
Perfect Job,Perfect Relationship,1
Good People,Smart People,0
Ignored,Criticized,1
Forgive,Forget,0
City Streets,Country Hills,1
Automated Home,Self-driving Car,0
Zero Hope,False Hope,1
Modern,Classical,0
Drunk,Tipsy,1
Black,White,0
Chocolate,Cheese,1
Biscuits,Bread,0
Underdressed,Overdressed,1
Smooth jazz,Techno,0
Formal,Casual,1
Concert,Plays,0
Traditional,High-tech,1
Clean Shaved,Facial Hair,0
Sugar,Spices,1
Amusement Park,Historical Sites,0
Instagram,Twitter,1
Candlelight,Lamp Light,0
Sci-fi,Fantasy,1
Tropical,Arctic,0
Digital Watch,Analog Watch,1
Ice Cream,Waffle,0
Detailed,Abstract,1
Red,Blue,0
Black Leather,Brown Leather,1
Tinder,Bumble,0
Kahitna,Dewa 19,1
Balcony,Kitchen,0
Breakfast,Brunch,1
Ice Cream,Cake,0
Tea,Coffee,1
Street Food,Restaurant,0
Relaxing,Adventure,1
Films,Books,0
DJ,Band,1
Outdoor,Indoor,0
Job,Family,1
Sedan,Suv,0
